Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
ACC0025,COLITA PARA CABELLO PEQUEÑA X UNIDAD / ITEM: DOC-024,907953,ACCESORIOS,ACCESORIO CABELLO,,,PESOS,42.00,"120,00"
ACC8955547,COLITAS PARA EL PELO PERSONAJES BLISTER X5,908109.692,ACCESORIOS,ACCESORIOS PARA EL CABELLO,,,PESOS,970.00,"120,00"
CORDON LENTES,CORDON LENTES,908199,ACCESORIOS,CORDON,,,PESOS,400.00,"120,00"
174103,CUELLO AMAYRA 4106 4104 4107 4109 4110 4111,900577,ACCESORIOS,INVIERNO,,AMAYRA,PESOS,"4,850.00","120,00"
1718658,CUELLO DOBLE DAMA JERSEY 18658,900569,ACCESORIOS,INVIERNO,,,PESOS,"4,850.00","120,00"
1724271,CUELLO DOBLE LANA CON PELITOS 24271,900573,ACCESORIOS,INVIERNO,,,PESOS,"5,200.00","120,00"
1723636,CUELLO DOBLE TEJIDO 55CM,900570,ACCESORIOS,INVIERNO,,,PESOS,"3,650.00","120,00"
1715867,CUELLO polar CON AJUSTE,900568,ACCESORIOS,INVIERNO,,,PESOS,"2,950.00","120,00"
1723671,CUELLO SIMPLE DAMA PIEL CORDERITO 23671,900571,ACCESORIOS,INVIERNO,,,PESOS,"4,850.00","120,00"
1724270,CUELLO SIMPLE LANA CON PELITOS 24270,900572,ACCESORIOS,INVIERNO,,,PESOS,"3,740.00","120,00"
1727638,CUELLO SIMPLE TEJIDO 25CM,900576,ACCESORIOS,INVIERNO,,,PESOS,"3,000.00","120,00"
PNK21,DELINEADOR EN FIBRA PINK21 / FIT ME 11-03-24,909472,ACCESORIOS,MAQUILLAJE,,,PESOS,600.00,"120,00"
607315,DESTORNILLADOR X 6 1500 10038NE,907825,ACCESORIOS,HERRAMIENTAS,,,PESOS,"1,200.00","120,00"
