Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Bulto,Caja / Rollo,Unidad / metro / cajita,,
2940000651,AGUJA MAQ. DE ETIQUETAR STANDART X 1,905943,MERCERIA,AGUJA ETIQUETADORA,MILAN,TAGGING ,PESOS,890.00,"120,00",,,,,Único
294000065,AGUJA MAQ. DE ETIQUETAR STANDART X CAJA 5,905942,MERCERIA,AGUJA ETIQUETADORA,MILAN,TAGGING ,PESOS,"4,450.00","120,00",,,,,Único
2940000711,"AGUJA MAQ. INDUST. COLLARETA ""UY"" SOBRE X10",905950,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,"4,140.00","120,00",,,,,Único
2940000712,"AGUJA MAQ. INDUST. COLLARETA ""UY"" X1",905951,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,414.00,"120,00",,,,,Único
294000066,"AGUJA MAQ. INDUST. RECTA CABO FINO ""DB"" SOBRE X10",905944,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,"2,350.00","120,00",,,,,Único
294000067,"AGUJA MAQ. INDUST. RECTA CABO FINO ""DB"" X1",905945,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,235.00,"120,00",,,,,Único
294000068,"AGUJA MAQ. INDUST. RECTA CABO GRUESO""DP"" SOBRE X10",905946,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,"2,350.00","120,00",,,,,Único
294000069,"AGUJA MAQ. INDUST. RECTA CABO GRUESO ""DP"" X1",905947,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,235.00,"120,00",,,,,Único
294000070,"AGUJA MAQ. INDUST. REMALLAR ""DC"" SOBRE X10",905948,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,"3,590.00","120,00",,,,,Único
294000071,"AGUJA MAQ. INDUST. REMALLAR ""DC"" X1",905949,MERCERIA,AGUJA MAQUINA,MILAN,ORANGE,PESOS,359.00,"120,00",,,,,Único
294000072,AGUJA MAQ. SOBRE REJO X10,905952,MERCERIA,AGUJA MAQUINA,MILAN,REGAL,PESOS,500.00,"120,00",,,,,Único
294000073,AGUJA MAQ. SOBRE ROJO X1,905953,MERCERIA,AGUJA MAQUINA,MILAN,REGAL,PESOS,50.00,"120,00",,,,,Único
294000074,"AGUJA MATAMBRE N°3 1/2 "" X 25",905954,MERCERIA,AGUJAS,MILAN,BALANCE,PESOS,500.00,"120,00",,,,,Único
294000076,AGUJA PARA BORDAR FIELTRO ART. FN007,905956,MERCERIA,AGUJA PARA BORDAR,MILAN,CBX,PESOS,"13,725.00","120,00",,,,,Único
294000077,AGUJA PARA BORDAR MOSTACILLA Y LENTEJUELA,905957,MERCERIA,AGUJA PARA BORDAR,MILAN,,PESOS,"9,470.00","120,00",,,,,Único
294000075,AGUJA PARA MOSTACILLA CBX X1,905955,MERCERIA,AGUJAS,MILAN,,PESOS,100.00,"120,00",,,,,Único
294000078,AGUJA PARA TRIFILAR CUERO CBX X 6 UNIDADES,905958,MERCERIA,AGUJAS,MILAN,,PESOS,"1,350.00","120,00",,,,,Único
294000079,AGUJA PASA CINTA METALICA CBX X1,905959,MERCERIA,AGUJAS,MILAN,,PESOS,225.00,"120,00",,,,,Único
294000080,AGUJA PASACINTA Y ELASTICO X UNIDAD,905960,MERCERIA,AGUJAS,MILAN,,PESOS,250.00,"120,00",,,,,Único
294000081,AGUJA SINGER DOBLE X2,905961,MERCERIA,AGUJAS,MILAN,SINGER,PESOS,"8,775.00","120,00",,,,,Único
294000082,AGUJA SINGER 2020 MAQ. SOBRE X10,905962,MERCERIA,AGUJA MAQUINA,MILAN,SINGER,PESOS,"3,410.00","120,00",,,,,Único
ME131001,AGUJA SINGER 2020 MAQ. X1,905963,MERCERIA,AGUJA MAQUINA,MILAN,SINGER,PESOS,341.00,"120,00",,,,,Único
294000083,AGUJA SINGER 2045 MAQ. SOBRE X10,905962,MERCERIA,AGUJA MAQUINA,MILAN,SINGER,PESOS,"3,600.00","120,00",,,,,Único
ME131002,AGUJA SINGER 2045 MAQ. SOBRE X1,905962,MERCERIA,AGUJA MAQUINA,MILAN,SINGER,PESOS,360.00,"120,00",,,,,Único
294000084,AGUJA SOFT MUÑEQUERIA X1,905964,MERCERIA,AGUJAS,MILAN,,PESOS,240.00,"120,00",,,,,Único
