Cod Producto,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad,Fecha Ultima Modificacion
2504028,"FOX, OBRA ALCALINO 180 GRS 215 X 355 MM X 250 HJS (MP)",905682,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"15,000.00",60,04/11/2025
2504029,"FOX, OBRA ALCALINO 180 GRS 220 X 340 MM 125 HJS (MP)",905683,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"14,000.00",60,04/11/2025
2504030,"FOX, OBRA ALCALINO 180 GRS 30,5 X 45,7 MM 125 HJS (MP)",905684,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"24,000.00",60,04/11/2025
25040311,"FOX, OBRA ALCALINO 180 GRS A4 X 125 HJS (MP)",905686,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"10,833.33",60,04/11/2025
2504031,"FOX, OBRA ALCALINO 180 GRS A4 X HOJA (MP)",905685,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,120.00,60,04/11/2025
2504032,"FOX, OBRA ALCALINO 210 GRS 215 X 355 MM X 250 HJS (MP)",905689,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"16,500.00",60,04/11/2025
2504033,"FOX, OBRA ALCALINO 210 GRS 220 X 340 MM 125 HJS (MP)",905690,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"15,000.00",60,04/11/2025
2504034,"FOX, OBRA ALCALINO 210 GRS 30,5 X 45,7 MM 125 HJS (MP)",905691,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"28,000.00",60,04/11/2025
25040312,"FOX, OBRA ALCALINO 210 GRS A4 X 125 HJS (MP)",905687,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"11,666.67",60,04/11/2025
2504035,"FOX, OBRA ALCALINO 210 GRS A4 X HOJA (MP)",905692,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,130.00,60,04/11/2025
2504036,"FOX, OBRA ALCALINO 240 GRS 215 X 355 MM X 250 HJS (MP)",905693,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"19,000.00",60,04/11/2025
2504037,"FOX, OBRA ALCALINO 240 GRS 220 X 340 MM 125 HJS (MP)",905694,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"18,000.00",60,04/11/2025
2504038,"FOX, OBRA ALCALINO 240 GRS 30,5 X 45,7 MM 125 HJS (MP)",905695,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"33,000.00",60,04/11/2025
25040313,"FOX, OBRA ALCALINO 240 GRS A4 X 125 HJS (MP)",905688,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,"15,000.00",60,04/11/2025
2504039,"FOX, OBRA ALCALINO 240 GRS A4 X HOJA (MP)",905696,PAPELERA,PAPEL OBRA,MULTIPAPEL,FOX,PESOS,140.00,60,04/11/2025
2504040,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 115 GR 125 HJS,905697,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"7,000.00",60,04/11/2025
2504041,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 115 GR X HOJA,905698,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,80.00,60,04/11/2025
2504042,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 130 GR 125 HJS,905699,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"7,500.00",60,04/11/2025
2504043,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 130 GR X HOJA,905700,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,80.00,60,04/11/2025
2504044,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 150 GR 125 HJS,905701,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"8,500.00",60,04/11/2025
2504045,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 150 GR X HOJA,905702,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,90.00,60,04/11/2025
2504046,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 200 GR 125 HJS,905703,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"13,000.00",60,04/11/2025
2504047,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 200 GR X HOJA,905704,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,125.00,60,04/11/2025
2504048,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 250 GR 100 HJS,905705,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"13,000.00",60,04/11/2025
2504049,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 250 GR X HOJA,905706,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,150.00,60,04/11/2025
2504050,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 300 GR 100 HJS,905707,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"15,000.00",60,04/11/2025
2504051,ILUSTRACION BRILLANTE & MATE 215 X 355 MM. 300 GR X HOJA,905708,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,170.00,60,04/11/2025
2504052,"ILUSTRACION BRILLANTE & MATE 30,5 X 45,7 MM 150 GR 125 HJS",905709,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"16,500.00",60,04/11/2025
2504053,"ILUSTRACION BRILLANTE & MATE 30,5 X 45,7 MM 150 GR X HOJA",905710,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,160.00,60,04/11/2025
2504054,"ILUSTRACION BRILLANTE & MATE 30,5 X 45,7 MM 250 GR 50 HJS",905711,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"14,000.00",60,04/11/2025
2504055,"ILUSTRACION BRILLANTE & MATE 30,5 X 45,7 MM 250 GR X HOJA",905712,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,300.00,60,04/11/2025
2504056,"ILUSTRACION BRILLANTE & MATE 30,5 X 45,7 MM 300 GR 50 HJS",905713,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"16,000.00",60,04/11/2025
2504057,"ILUSTRACION BRILLANTE & MATE 30,5 X 45,7 MM 300 GR X HOJA",905714,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,340.00,60,04/11/2025
2504058,ILUSTRACION BRILLANTE & MATE A3 150 GR 125 HJS,905715,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"15,500.00",60,04/11/2025
2504059,ILUSTRACION BRILLANTE & MATE A3 150 GR X HOJA,905716,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,150.00,60,04/11/2025
2504060,ILUSTRACION BRILLANTE & MATE A3 250 GR 50 HJS,905717,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"13,000.00",60,04/11/2025
2504061,ILUSTRACION BRILLANTE & MATE A3 250 GR X HOJA,905718,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,280.00,60,04/11/2025
2504062,ILUSTRACION BRILLANTE & MATE A3 300 GR 50 HJS,905719,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,"15,000.00",60,04/11/2025
2504063,ILUSTRACION BRILLANTE & MATE A3 300 GR X HOJA,905720,PAPELERA,PAPEL ILUSTRACION,MULTIPAPEL,,PESOS,320.00,60,04/11/2025
250440,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A3 150GR X 250 HJS,905837,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,"23,875.00",60,04/11/2025
250441,PAPEL ILUSTRACION BRILLANTE PS PAPER SHOP A3 150GR X HOJA,905838,PAPELERA,PAPEL ILUSTRACION,PAPELERA CUMBRE,PS,PESOS,112.50,60,04/11/2025
