Cod Producto,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Tiempo (min),Costo Mano Obra/min,Costo Insumos,Costo Internet,Costo Luz,Costo Equipo,Ganancia,Venta,Venta Final,,,,,,,,
17128,IMPRESION OBRA 210GR / 200GR A3 (COLOR) 🏳️‍🌈,909721,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,400.00",,,,,,,,
17089,IMPRESION OBRA 210GR / 200GR A4 (B/N) 🏁,909682,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,600.00,,,,,,,,
17103,IMPRESION OBRA 210GR / 200GR A4 (COLOR) 🏳️‍🌈,909696,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,800.00,,,,,,,,
17124,IMPRESION VEGETAL 90GR A3 (B/N) 🏁,909717,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,"1,300.00",,,,,,,,
17136,IMPRESION VEGETAL 90GR A3 (COLOR) 🏳️‍🌈,909729,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"2,000.00",,,,,,,,
17098,IMPRESION VEGETAL 90GR A4 (B/N) 🏁,909691,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,27.16,1.6,#REF!,800.00,,,,,,,,
17112,IMPRESION VEGETAL 90GR A4 (COLOR) 🏳️‍🌈,909705,SERVICIOS,IMPRESION,,,PESOS,1,82.73,#REF!,3.740648379,25.99283458,275.00,1.6,#REF!,"1,000.00",,,,,,,,
17066,PLASTIFICADO A3,900558,SERVICIOS,PLASTIFICADO,,,PESOS,3,248.19,#REF!,,77.97850374,,1.8,#REF!,#REF!,,,,,,,,
17065,PLASTIFICADO A4/OFICIO,900557,SERVICIOS,PLASTIFICADO,,,PESOS,3,248.19,#REF!,,77.97850374,,1.8,#REF!,#REF!,,,,,,,,
17064,PLASTIFICADO CARNET,900556,SERVICIOS,PLASTIFICADO,,,PESOS,3,248.19,#REF!,,77.97850374,,1.8,#REF!,800.00,,,,,,,,
17080,TRABAJO DE EDICION,900565,SERVICIOS,EDICION,,,PESOS,1,82.73,,3.740648379,25.99283458,,1.6,200.00,400.00,,,,,,,,
