Codigo,Producto,Cod Barra,Rubro,Sub Rubro,Proveedor,Marca,Moneda,Costo,Porc. Utilidad
RE6290132557686,MOUSE SEIS DN-N632 / DN-N601,909541,REGALERIA,MOUSE,,,PESOS,"2,350.00","120,00"
201102,,,,,,,,,"120,00"
201103,*,905091,REGALERIA,NAIPES,,,PESOS,792.00,"120,00"
201104,*,905092,REGALERIA,NAIPES,,,PESOS,979.00,"120,00"
REG87414,*,909632,REGALERIA,NAIPES,,,PESOS,"1,100.00","120,00"
201106,*,905093,REGALERIA,NAIPES,,,PESOS,448.00,"120,00"
201101,*,905089,REGALERIA,NAIPES,,,PESOS,729.00,"120,00"
201100,*,905088,REGALERIA,NAIPES,,,PESOS,624.00,"120,00"
205573,ORUGA SHAKY IK0153,905524,REGALERIA,ORUGA,,,PESOS,795.00,"120,00"
205581,OSITO TEDDY SHAKI IK0157,905532,REGALERIA,OSITO,,,PESOS,"1,320.00","120,00"
204507,PAD GTC ANI-015,905464,REGALERIA,PAD,,,PESOS,"8,050.00","120,00"
204218,PAD MOUSE GTC GAMING PAD-013,905428,REGALERIA,PAD,,,PESOS,"2,080.38","120,00"
204217,PAD MOUSE GTC PAD-100,905427,REGALERIA,PAD,,,PESOS,"1,200.00","120,00"
204216,PAD MOUSE GTC PAD-212,905426,REGALERIA,PAD,,,PESOS,"1,471.68","120,00"
ACC13940,PARAGUA INFANTIL C/SILBATO,908002,REGALERIA,PARAGUAS,,,PESOS,"4,200.00","120,00"
ACC196050,PARAGUAS AUTOMATICO AMAYRA 67.P6047.2 67P60472,908006,REGALERIA,PARAGUAS,,AMAYRA,PESOS,"10,320.00","120,00"
ACC196239,PARAGUAS CHIMOLA PC03,908007,REGALERIA,PARAGUAS,,CHIMOLA,PESOS,"10,200.00","120,00"
45412134,PARAGUAS CORTO MANUAL AMAYRA 67.P6035 67.P6035,907780,REGALERIA,PARAGUAS,,,PESOS,"5,950.00","120,00"
RE1913933,PARAGUAS INFANTIL 688,909497,REGALERIA,PARAGUAS,,,PESOS,"4,500.00","120,00"
58658353252,PARAGUAS LARGO TRANSPARENTE COLOR ECONOMICO 1733-02,907824,REGALERIA,PARAGUAS,,,PESOS,"2,030.00","120,00"
RE1913721,PARAGUAS TRENDY 6245 - 6247,909496,REGALERIA,PARAGUAS,,TRENDY,PESOS,"5,500.00","120,00"
ACC58789,PARAGUAS TRENDY INFANTIL 13727 - 13716 - 13721 - 13715 - 15M*24,908064,REGALERIA,PARAGUAS,,TRENDY,PESOS,"3,290.00","120,00"
204360,PARLANTE GTC ANI-S01,905452,REGALERIA,PARLANTE,,,PESOS,"10,908.00","120,00"
204128,PARLANTE GTC BARRA DE SONIDO SPG-136,905392,REGALERIA,PARLANTE,,,PESOS,"8,108.00","120,00"
204355,PARLANTE GTC BLUETOOTH SPG-146,905447,REGALERIA,PARLANTE,,,PESOS,"10,212.00","120,00"
